ID,smiles,IC50,WT_score,Mut_score,score_diff,RMSD_diff,WT pose dist to mutation,Mut pose dist to mutation
OSM-S-512,FC(F)Oc1ccc(-c2nnc3cncc(OCC4CC5CC4C4OC54)n23)cc1,11.0,-8.6,-8.5,-0.09999999999999964,0.17193533267100639,5.786512685949309,5.924829542843927
OSM-S-513,OC12C3C4C1C1C2C3C41CCOc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12,1.0,-8.5,-8.5,0.0,0.08846061976947688,8.524519111960524,8.553841658912589
OSM-S-514,OC12C3C4C5C3C1(CCOc1cncc3nnc(-c6ccc(OC(F)F)cc6)n13)C5C42,3.3,-7.7,-7.7,0.0,0.7737046230636082,8.323907474845953,6.850191665001813
OSM-S-515,O=C(O)C(COc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12)c1ccccc1,3.88,-8.6,-8.8,0.20000000000000107,2.133539576619098,5.603901987930082,5.446800769911317
OSM-S-517,Fc1ccc(CCOc2cncc3nnc(N4CCOCC4)n23)cc1F,19.0,-8.2,-8.2,0.0,0.055624773119675786,5.807789082774923,5.802296353257421
OSM-S-522,CN(C)C(=O)c1cccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)c1,25.0,-9.0,-8.6,-0.40000000000000036,2.0308866330076216,1.6621654038737477,2.7914609632324563
OSM-S-523,Fc1ccc(CCOc2cncc3nnc(OCCc4ccc(F)c(F)c4)n23)cc1F,25.0,-8.8,-7.9,-0.9000000000000004,4.811048225933519,1.6417798085582653,6.207880121831118
OSM-S-524,Fc1ccc(CCOc2cncc3nnc(-c4ccc(N5CCOCC5)cc4)n23)cc1F,17.0,-9.1,-8.4,-0.6999999999999993,7.770869005056642,2.4468473050672293,7.940628383282047
OSM-S-525,Fc1ccc(CCOc2cncc3nnc(-c4ccc5cc[nH]c5c4)n23)cc1F,0.1065,-8.1,-8.8,0.7000000000000011,7.402789035221792,1.2174569933182071,6.053474611543784
OSM-S-526,Nc1ccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)cc1,13.0,-8.3,-8.3,0.0,0.17735635275362713,5.063775547172838,5.001407070292377
OSM-S-527,Fc1ccc(CCOc2cncc3nnc(-c4ccc(N5CCCCC5)cc4)n23)cc1F,20.0,-8.9,-8.9,0.0,0.5550856915828402,3.6155191091129337,3.809664718693845
OSM-S-528,Fc1ccc(CCOc2cncc3nnc(-c4ccc(N5CCCC5)cc4)n23)cc1F,22.0,-8.8,-7.9,-0.9000000000000004,7.459961402650301,1.7058900125476595,6.780177091750137
OSM-S-529,CC(=O)Nc1ccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)cc1,25.0,-7.5,-7.9,0.40000000000000036,2.1008456745765733,1.6739831498643722,2.912081361008814
OSM-S-530,CC(=O)Nc1cccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)c1,25.0,-8.4,-9.2,0.7999999999999989,2.186753500275635,6.665544689046746,5.670547148668442
OSM-S-518,Fc1ccc(CCOc2cncc3nnc(N4CCC(F)(F)CC4)n23)cc1F,1.51,-8.6,-8.7,0.09999999999999964,0.07073315044184424,5.39428786685232,5.351179554045042
OSM-S-519,Fc1ccc(CCOc2cncc3nnc(N4CCC(F)CC4)n23)cc1F,8.46,-8.5,-8.5,0.0,0.040526168957481824,5.45304162286704,5.449415010319681
OSM-S-520,Fc1ccc(CCOc2cncc3nnc(N4CCC(C(F)(F)F)CC4)n23)cc1F,2.75,-8.3,-8.6,0.29999999999999893,5.522683167326066,5.5893243557613514,3.560347455417335
OSM-S-521,CN1CCN(c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)CC1,25.0,-7.8,-7.5,-0.2999999999999998,6.475134612500344,8.2111721238259,8.14022252062112
OSM-S-531,CN(C)c1ccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)cc1,5.53,-8.4,-8.5,0.09999999999999964,0.5248192135360061,4.396008963061268,3.6109317181052862
OSM-S-532,OCC(COc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12)c1cccc(OCc2ccccc2)c1,0.059,-9.4,-9.5,0.09999999999999964,0.35703468911405406,5.152789439100795,4.998577273932485
OSM-S-533,OCC(COc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12)c1cccc(O)c1,0.382,-8.3,-8.3,0.0,1.7040847361204747,5.999682123864431,5.718013430107028
OSM-S-535,CC(C)(C)OC(=O)NC(COc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12)Cc1ccccc1,8.6,-8.3,-8.1,-0.20000000000000107,7.134232184925092,2.0897276639890894,2.921494832282697
OSM-S-536,NC(COc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12)Cc1ccccc1,17.0,-8.0,-8.1,0.09999999999999964,0.29182549787864864,3.561409632052566,3.5495762495080965
OSM-S-537,CC(C)(C)OC(=O)NC(COc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12)Cc1ccccc1,10.0,-7.7,-8.0,0.2999999999999998,7.2837588167099545,1.7412345652274315,3.0613176045964825
OSM-S-538,NC(COc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12)Cc1ccccc1,2.3,-7.8,-8.0,0.20000000000000018,0.42810902038304854,3.627293114006084,3.5189792645173354
OSM-S-542,Fc1ccc(CCOc2cncc3nnc(-n4cccn4)n23)cc1F,25.0,-8.3,-8.3,0.0,0.026808953728185824,5.2762802534497055,5.289998233580054
OSM-S-543,Fc1ccc(CCOc2nccn3c(-n4cccn4)nnc23)cc1F,19.0,-8.0,-8.0,0.0,0.3679724989724097,2.264796322413969,2.9550916035302026
OSM-S-544,Fc1ccc(CCOc2cncc3nnc(Oc4ccc(Cl)cc4)n23)cc1F,25.0,-8.0,-8.0,0.0,8.83388987487554,6.381656791049129,7.836753801793087
OSM-S-545,CN(C)c1cccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)c1,7.0,-7.8,-7.9,0.10000000000000053,9.041044261855351,1.689350684141568,7.621158182626673
OSM-S-546,Fc1ccc(CCOc2cncc3nnc(-c4ccc5cn[nH]c5c4)n23)cc1F,0.434,-8.8,-8.9,0.09999999999999964,0.38163743701756175,6.138925386480349,6.436546755380703
OSM-S-547,Fc1ccc(CCOc2cncc3nnc(-c4cccc5[nH]ccc45)n23)cc1F,4.9,-8.3,-8.4,0.09999999999999964,0.22720225937843735,6.617015108597211,6.857916372811188
